Lead_ID,First_Name,Last_Name,Email,Phone_Number,City,Region,Country,Total_Visits,First_Visit_Date,Last_Visit_Date,Avg_Time_Spent_Sec,Total_Time_Spent_Sec,Pages_Viewed,Active_Time_Window,Product_Pages_Viewed,Primary_Product_Page,Primary_Product_Category,Primary_Product_Value,Cart_Value,Added_To_Cart,Purchased,Purchase_Value,Lead_Source,UTM_Campaign,Engagement_Score,Bounce_Rate,New_vs_Returning,Last_Engaged_Page,Newsletter_Subscribed,WhatsApp_OptIn,Device_Type,Browser,Last_Contact_Date,Lead_Status
L060,Riya,Nambiar,riya.nambiar31@gmail.com,7874805926,Lucknow,Gujarat,India,12,14-01-2025,21-02-2025,247,3161,17,09:00-18:00,https://theobroma.in/products/chocoholic-mousse-pastry,https://theobroma.in/products/chocoholic-mousse-pastry,Pastries,280,3384,Yes,No,0,Email Campaign,cakes-campaign,64,30,Returning,https://theobroma.in/products/chocoholic-mousse-pastry,No,No,Mobile,Chrome,21-02-2025,Customer
L061,Ajay,Bhatt,ajay.bhatt40@gmail.com,9171849120,Bengaluru,Uttar Pradesh,India,13,10-01-2025,26-02-2025,295,4456,15,09:00-18:00,https://theobroma.in/products/banoffee-tart,https://theobroma.in/products/banoffee-tart,Desserts,220,3650,Yes,No,0,Instagram,cakes-campaign,64,8,New,https://theobroma.in/products/banoffee-tart,No,Yes,Tablet,Chrome,26-02-2025,Qualified
L062,Akshay,Gupta,akshay.gupta67@gmail.com,9088579551,Cochin,West Bengal,India,5,03-12-2024,01-03-2025,275,1834,16,09:00-18:00,https://theobroma.in/products/lemon-tart,https://theobroma.in/products/lemon-tart,Desserts,200,2725,No,No,0,Facebook,cakes-campaign,96,22,New,https://theobroma.in/products/lemon-tart,No,Yes,Tablet,Edge,01-03-2025,Qualified
L063,Ajay,Kumar,ajay.kumar76@gmail.com,7191448736,Kanpur,Telangana,India,14,08-01-2025,26-02-2025,283,4859,6,09:00-18:00,https://theobroma.in/products/lemon-tart,https://theobroma.in/products/lemon-tart,Desserts,200,721,Yes,Yes,200,Organic Search,cakes-campaign,54,48,New,https://theobroma.in/products/lemon-tart,No,No,Tablet,Chrome,26-02-2025,Qualified
L064,Megha,Saxena,megha.saxena1@gmail.com,9785596784,Coimbatore,Telangana,India,12,12-01-2025,27-02-2025,166,2803,1,09:00-18:00,https://theobroma.in/products/choco-chip-brownie,https://theobroma.in/products/choco-chip-brownie,Brownies,450,1725,Yes,No,0,Facebook,cakes-campaign,24,45,New,https://theobroma.in/products/choco-chip-brownie,Yes,Yes,Desktop,Edge,27-02-2025,Active
L065,Ananya,Misra,ananya.misra79@gmail.com,7913340542,Nagpur,Rajasthan,India,5,11-01-2025,27-02-2025,177,1183,10,09:00-18:00,https://theobroma.in/products/lemon-tart,https://theobroma.in/products/lemon-tart,Desserts,200,4888,Yes,No,0,Social Media,cakes-campaign,19,20,Returning,https://theobroma.in/products/lemon-tart,No,Yes,Tablet,Edge,27-02-2025,Lead
L066,Sumit,Reddy,sumit.reddy9@gmail.com,7241198417,Thiruvananthapuram,Punjab,India,12,05-12-2024,22-02-2025,238,1505,11,09:00-18:00,https://theobroma.in/products/dutch-truffle-cake-1-2-kg,https://theobroma.in/products/dutch-truffle-cake-1-2-kg,Cakes,850,651,Yes,Yes,850,Instagram,cakes-campaign,47,29,Returning,https://theobroma.in/products/dutch-truffle-cake-1-2-kg,Yes,Yes,Mobile,Safari,22-02-2025,Lead
L067,Rajesh,Saxena,rajesh.saxena48@gmail.com,7757029791,Noida,Madhya Pradesh,India,10,16-01-2025,21-02-2025,301,2927,9,09:00-18:00,https://theobroma.in/products/fresh-cream-pineapple-cake-1-kg,https://theobroma.in/products/fresh-cream-pineapple-cake-1-kg,Cakes,950,2335,No,Yes,950,Direct,cakes-campaign,33,22,Returning,https://theobroma.in/products/fresh-cream-pineapple-cake-1-kg,Yes,Yes,Desktop,Chrome,21-02-2025,Active
L068,Nitin,Chaudhary,nitin.chaudhary98@gmail.com,9868022195,Delhi,Uttarakhand,India,9,05-12-2024,28-02-2025,344,1196,10,09:00-18:00,https://theobroma.in/products/strawberry-custard-cake-1,https://theobroma.in/products/strawberry-custard-cake-1,Cakes,750,3179,Yes,Yes,750,Direct,cakes-campaign,62,8,New,https://theobroma.in/products/strawberry-custard-cake-1,No,Yes,Tablet,Safari,28-02-2025,Customer
L069,Yash,Misra,yash.misra25@gmail.com,8838427586,Coimbatore,Delhi,India,14,21-01-2025,23-02-2025,263,3980,1,09:00-18:00,https://theobroma.in/products/chocoholic-mousse-pastry,https://theobroma.in/products/chocoholic-mousse-pastry,Pastries,280,3057,Yes,Yes,280,Organic Search,cakes-campaign,27,44,New,https://theobroma.in/products/chocoholic-mousse-pastry,No,No,Mobile,Chrome,23-02-2025,Qualified
L070,Arjun,Kumar,arjun.kumar67@gmail.com,8954063464,Delhi,Madhya Pradesh,India,3,01-12-2024,19-02-2025,225,533,16,09:00-18:00,https://theobroma.in/products/fresh-fruit-cream-cake,https://theobroma.in/products/fresh-fruit-cream-cake,Cakes,980,1333,Yes,No,0,Instagram,cakes-campaign,59,7,Returning,https://theobroma.in/products/fresh-fruit-cream-cake,No,No,Tablet,Edge,19-02-2025,Lead
L071,Megha,Joshi,megha.joshi88@gmail.com,8821762721,Kolkata,Kerala,India,5,07-12-2024,19-02-2025,400,4994,15,09:00-18:00,https://theobroma.in/products/fresh-fruit-cream-cake,https://theobroma.in/products/fresh-fruit-cream-cake,Cakes,980,1304,Yes,Yes,980,Organic Search,cakes-campaign,16,19,New,https://theobroma.in/products/fresh-fruit-cream-cake,No,No,Mobile,Safari,19-02-2025,Customer
L072,Ravi,Tiwari,ravi.tiwari40@gmail.com,7394138431,Delhi,Madhya Pradesh,India,5,31-12-2024,23-02-2025,367,4969,4,09:00-18:00,https://theobroma.in/products/dense-loaf-350g,https://theobroma.in/products/dense-loaf-350g,Breads,180,2985,No,No,0,Social Media,cakes-campaign,85,33,Returning,https://theobroma.in/products/dense-loaf-350g,Yes,No,Mobile,Safari,23-02-2025,Active
L073,Akshay,Saxena,akshay.saxena97@gmail.com,9617307628,Noida,West Bengal,India,12,07-01-2025,23-02-2025,325,4243,5,09:00-18:00,https://theobroma.in/products/blueberry-cheesecake,https://theobroma.in/products/blueberry-cheesecake,Cakes,1200,3643,No,No,0,Facebook,cakes-campaign,22,42,Returning,https://theobroma.in/products/blueberry-cheesecake,No,No,Mobile,Safari,23-02-2025,Lead
L074,Akshay,Misra,akshay.misra18@gmail.com,7495650876,Varanasi,Uttarakhand,India,5,27-12-2024,26-02-2025,172,1859,19,09:00-18:00,https://theobroma.in/products/strawberry-custard-cake-1,https://theobroma.in/products/strawberry-custard-cake-1,Cakes,750,29,No,Yes,750,Social Media,cakes-campaign,19,9,Returning,https://theobroma.in/products/strawberry-custard-cake-1,Yes,Yes,Desktop,Safari,26-02-2025,Active
L075,Suresh,Menon,suresh.menon76@gmail.com,8469497528,Delhi,Uttar Pradesh,India,4,11-01-2025,28-02-2025,373,2671,15,09:00-18:00,https://theobroma.in/products/overload-brownie,https://theobroma.in/products/overload-brownie,Brownies,500,4037,Yes,Yes,500,Direct,cakes-campaign,10,41,Returning,https://theobroma.in/products/overload-brownie,No,Yes,Desktop,Safari,28-02-2025,Active
L076,Manoj,Tripathi,manoj.tripathi87@gmail.com,8894848443,Vadodara,Rajasthan,India,6,21-12-2024,21-02-2025,349,330,13,09:00-18:00,https://theobroma.in/products/dutch-truffle-cake-1-2-kg,https://theobroma.in/products/dutch-truffle-cake-1-2-kg,Cakes,850,1231,Yes,Yes,850,Email Campaign,cakes-campaign,80,45,Returning,https://theobroma.in/products/dutch-truffle-cake-1-2-kg,Yes,Yes,Mobile,Edge,21-02-2025,Customer
L077,Anurag,Mishra,anurag.mishra74@gmail.com,7648397583,Surat,Uttarakhand,India,7,24-12-2024,20-02-2025,364,4821,10,09:00-18:00,https://theobroma.in/products/fresh-fruit-cream-cake,https://theobroma.in/products/fresh-fruit-cream-cake,Cakes,980,4480,Yes,Yes,980,Facebook,cakes-campaign,39,21,New,https://theobroma.in/products/fresh-fruit-cream-cake,No,Yes,Tablet,Edge,20-02-2025,Customer
L078,Sunita,Kulkarni,sunita.kulkarni9@gmail.com,8313148245,Gurgaon,Karnataka,India,4,20-01-2025,27-02-2025,167,2757,3,09:00-18:00,https://theobroma.in/products/lemon-tart,https://theobroma.in/products/lemon-tart,Desserts,200,947,Yes,No,0,Google Ads,cakes-campaign,46,12,Returning,https://theobroma.in/products/lemon-tart,No,Yes,Tablet,Chrome,27-02-2025,Active
L079,Manoj,Tripathi,manoj.tripathi23@gmail.com,9286992974,Thiruvananthapuram,Uttar Pradesh,India,1,10-01-2025,28-02-2025,180,345,10,09:00-18:00,https://theobroma.in/products/red-velvet-cake-1-2-kg,https://theobroma.in/products/red-velvet-cake-1-2-kg,Cakes,750,1499,Yes,Yes,750,Facebook,cakes-campaign,67,43,New,https://theobroma.in/products/red-velvet-cake-1-2-kg,Yes,Yes,Desktop,Chrome,28-02-2025,Customer
L080,Ananya,Nambiar,ananya.nambiar83@gmail.com,7235537478,Mumbai,Punjab,India,14,18-01-2025,24-02-2025,301,4534,3,09:00-18:00,https://theobroma.in/products/fresh-cream-pineapple-cake-1-kg,https://theobroma.in/products/fresh-cream-pineapple-cake-1-kg,Cakes,950,992,No,Yes,950,Email Campaign,cakes-campaign,51,32,Returning,https://theobroma.in/products/fresh-cream-pineapple-cake-1-kg,No,No,Tablet,Edge,24-02-2025,Lead
L081,Priya,Sharma,priya.sharma59@gmail.com,8659253259,Meerut,Uttar Pradesh,India,15,06-01-2025,24-02-2025,157,1697,15,09:00-18:00,https://theobroma.in/products/fresh-cream-pineapple-cake-1-kg,https://theobroma.in/products/fresh-cream-pineapple-cake-1-kg,Cakes,950,3901,Yes,Yes,950,Facebook,cakes-campaign,34,46,New,https://theobroma.in/products/fresh-cream-pineapple-cake-1-kg,Yes,No,Tablet,Edge,24-02-2025,Customer
L082,Vikram,Singh,vikram.singh32@gmail.com,8536517949,Indore,Delhi,India,1,13-01-2025,19-02-2025,193,1403,9,09:00-18:00,https://theobroma.in/products/fresh-fruit-cream-cake,https://theobroma.in/products/fresh-fruit-cream-cake,Cakes,980,3859,No,Yes,980,Instagram,cakes-campaign,80,45,New,https://theobroma.in/products/fresh-fruit-cream-cake,Yes,Yes,Mobile,Chrome,19-02-2025,Customer
L083,Akshay,Verma,akshay.verma22@gmail.com,9688712595,Vadodara,Kerala,India,13,06-01-2025,28-02-2025,230,4434,11,09:00-18:00,https://theobroma.in/products/lemon-tart,https://theobroma.in/products/lemon-tart,Desserts,200,1998,Yes,No,0,Email Campaign,cakes-campaign,29,6,New,https://theobroma.in/products/lemon-tart,Yes,No,Desktop,Safari,28-02-2025,Qualified
L084,Sunita,Chattopadhyay,sunita.chattopadhyay69@gmail.com,7683020340,Noida,Haryana,India,15,23-01-2025,25-02-2025,124,2911,19,09:00-18:00,https://theobroma.in/products/fresh-cream-pineapple-cake-1-kg,https://theobroma.in/products/fresh-cream-pineapple-cake-1-kg,Cakes,950,1416,No,Yes,950,Organic Search,cakes-campaign,10,12,Returning,https://theobroma.in/products/fresh-cream-pineapple-cake-1-kg,No,No,Mobile,Chrome,25-02-2025,Qualified
L085,Manisha,Reddy,manisha.reddy98@gmail.com,8858659494,Ahmedabad,Delhi,India,14,10-12-2024,27-02-2025,172,1939,15,09:00-18:00,https://theobroma.in/products/chocoholic-mousse-pastry,https://theobroma.in/products/chocoholic-mousse-pastry,Pastries,280,3646,Yes,No,0,Email Campaign,cakes-campaign,55,10,Returning,https://theobroma.in/products/chocoholic-mousse-pastry,No,Yes,Mobile,Safari,27-02-2025,Lead
L086,Sanjay,Tiwari,sanjay.tiwari35@gmail.com,7483947114,Chennai,Karnataka,India,12,19-12-2024,27-02-2025,253,1834,18,09:00-18:00,https://theobroma.in/products/blueberry-cheesecake,https://theobroma.in/products/blueberry-cheesecake,Cakes,1200,3024,Yes,Yes,1200,Organic Search,cakes-campaign,94,14,Returning,https://theobroma.in/products/blueberry-cheesecake,No,No,Mobile,Edge,27-02-2025,Lead
L087,Sanjay,Joshi,sanjay.joshi71@gmail.com,7893946853,Thiruvananthapuram,Punjab,India,6,22-12-2024,28-02-2025,116,843,20,09:00-18:00,https://theobroma.in/products/fresh-fruit-cream-cake,https://theobroma.in/products/fresh-fruit-cream-cake,Cakes,980,4753,No,No,0,Organic Search,cakes-campaign,14,44,Returning,https://theobroma.in/products/fresh-fruit-cream-cake,Yes,No,Tablet,Chrome,28-02-2025,Lead
L088,Manisha,Joshi,manisha.joshi93@gmail.com,9392300230,Indore,Kerala,India,11,04-01-2025,27-02-2025,288,4568,17,09:00-18:00,https://theobroma.in/products/banoffee-tart,https://theobroma.in/products/banoffee-tart,Desserts,220,157,Yes,No,0,Organic Search,cakes-campaign,65,49,Returning,https://theobroma.in/products/banoffee-tart,No,No,Mobile,Edge,27-02-2025,Customer
L089,Rajesh,Bhardwaj,rajesh.bhardwaj10@gmail.com,8979492722,Coimbatore,Maharashtra,India,1,05-12-2024,26-02-2025,106,4731,2,09:00-18:00,https://theobroma.in/products/fresh-cream-pineapple-cake-1-kg,https://theobroma.in/products/fresh-cream-pineapple-cake-1-kg,Cakes,950,11,Yes,Yes,950,Direct,cakes-campaign,87,4,Returning,https://theobroma.in/products/fresh-cream-pineapple-cake-1-kg,Yes,No,Desktop,Safari,26-02-2025,Qualified
L090,Yash,Rathod,yash.rathod38@gmail.com,8331861619,Delhi,Punjab,India,5,24-12-2024,22-02-2025,214,3762,13,09:00-18:00,https://theobroma.in/products/fresh-fruit-cream-cake,https://theobroma.in/products/fresh-fruit-cream-cake,Cakes,980,1516,No,No,0,Social Media,cakes-campaign,34,16,New,https://theobroma.in/products/fresh-fruit-cream-cake,Yes,No,Tablet,Chrome,22-02-2025,Qualified
L091,Preeti,Vinay,preeti.vinay28@gmail.com,7862624883,Coimbatore,Maharashtra,India,11,08-01-2025,23-02-2025,176,2453,18,09:00-18:00,https://theobroma.in/products/chocoholic-mousse-pastry,https://theobroma.in/products/chocoholic-mousse-pastry,Pastries,280,3626,Yes,Yes,280,Facebook,cakes-campaign,86,44,Returning,https://theobroma.in/products/chocoholic-mousse-pastry,Yes,Yes,Tablet,Chrome,23-02-2025,Lead
L092,Yash,Bhardwaj,yash.bhardwaj71@gmail.com,7565917707,Lucknow,Rajasthan,India,8,09-12-2024,28-02-2025,318,4477,7,09:00-18:00,https://theobroma.in/products/overload-brownie,https://theobroma.in/products/overload-brownie,Brownies,500,1919,Yes,No,0,Google Ads,cakes-campaign,70,32,Returning,https://theobroma.in/products/overload-brownie,Yes,Yes,Desktop,Edge,28-02-2025,Qualified
L093,Yash,Joshi,yash.joshi83@gmail.com,8573489300,Pune,Uttarakhand,India,4,28-12-2024,26-02-2025,236,4315,20,09:00-18:00,https://theobroma.in/products/lemon-tart,https://theobroma.in/products/lemon-tart,Desserts,200,1934,Yes,Yes,200,Email Campaign,cakes-campaign,77,23,New,https://theobroma.in/products/lemon-tart,No,Yes,Desktop,Safari,26-02-2025,Qualified
L094,Sunita,Rathod,sunita.rathod77@gmail.com,8916155408,Cochin,Uttar Pradesh,India,7,17-01-2025,21-02-2025,226,4193,4,09:00-18:00,https://theobroma.in/products/millionaire-brownie,https://theobroma.in/products/millionaire-brownie,Brownies,460,4844,No,Yes,460,Direct,cakes-campaign,21,12,New,https://theobroma.in/products/millionaire-brownie,No,No,Desktop,Safari,21-02-2025,Qualified
L095,Priya,Sharma,priya.sharma12@gmail.com,7775195236,Dehradun,Punjab,India,9,18-01-2025,25-02-2025,115,2226,13,09:00-18:00,https://theobroma.in/products/red-velvet-cake-1-2-kg,https://theobroma.in/products/red-velvet-cake-1-2-kg,Cakes,750,4187,Yes,Yes,750,Email Campaign,cakes-campaign,75,36,New,https://theobroma.in/products/red-velvet-cake-1-2-kg,No,Yes,Tablet,Edge,25-02-2025,Lead
L096,Deepak,Menon,deepak.menon61@gmail.com,9266526326,Mumbai,Punjab,India,4,28-12-2024,27-02-2025,224,3887,7,09:00-18:00,https://theobroma.in/products/fresh-fruit-cream-cake,https://theobroma.in/products/fresh-fruit-cream-cake,Cakes,980,843,No,No,0,Google Ads,cakes-campaign,21,31,New,https://theobroma.in/products/fresh-fruit-cream-cake,Yes,No,Tablet,Edge,27-02-2025,Lead
L097,Preeti,Bhardwaj,preeti.bhardwaj72@gmail.com,9291699384,Rajkot,Kerala,India,4,22-01-2025,24-02-2025,296,3208,17,09:00-18:00,https://theobroma.in/products/banoffee-tart,https://theobroma.in/products/banoffee-tart,Desserts,220,1508,Yes,No,0,Email Campaign,cakes-campaign,13,9,Returning,https://theobroma.in/products/banoffee-tart,No,No,Mobile,Edge,24-02-2025,Active
L098,Manisha,Joshi,manisha.joshi49@gmail.com,8169415281,Noida,Karnataka,India,1,30-12-2024,28-02-2025,350,706,15,09:00-18:00,https://theobroma.in/products/strawberry-custard-cake-1,https://theobroma.in/products/strawberry-custard-cake-1,Cakes,750,1911,Yes,Yes,750,Google Ads,cakes-campaign,88,27,New,https://theobroma.in/products/strawberry-custard-cake-1,No,No,Desktop,Safari,28-02-2025,Lead
L099,Priya,Gupta,priya.gupta7@gmail.com,9743075873,Lucknow,Uttarakhand,India,14,27-12-2024,25-02-2025,383,2116,8,09:00-18:00,https://theobroma.in/products/fresh-fruit-cream-cake,https://theobroma.in/products/fresh-fruit-cream-cake,Cakes,980,1188,No,Yes,980,Social Media,cakes-campaign,61,23,New,https://theobroma.in/products/fresh-fruit-cream-cake,No,No,Tablet,Safari,25-02-2025,Active
L100,Ajay,Kulkarni,ajay.kulkarni41@gmail.com,8491877491,Nagpur,Karnataka,India,5,27-12-2024,28-02-2025,328,745,16,09:00-18:00,https://theobroma.in/products/millionaire-brownie,https://theobroma.in/products/millionaire-brownie,Brownies,460,2552,No,Yes,460,Facebook,cakes-campaign,72,39,Returning,https://theobroma.in/products/millionaire-brownie,No,Yes,Tablet,Safari,28-02-2025,Customer
L101,Riya,Mishra,riya.mishra52@gmail.com,8677044930,Rajkot,Uttarakhand,India,11,02-12-2024,20-02-2025,300,1667,5,09:00-18:00,https://theobroma.in/products/dense-loaf-350g,https://theobroma.in/products/dense-loaf-350g,Breads,180,3387,No,Yes,180,Social Media,cakes-campaign,72,5,New,https://theobroma.in/products/dense-loaf-350g,No,No,Tablet,Edge,20-02-2025,Lead
L102,Sunita,Bhatt,sunita.bhatt51@gmail.com,8451508017,Bengaluru,Telangana,India,2,06-01-2025,27-02-2025,101,1791,18,09:00-18:00,https://theobroma.in/products/lemon-tart,https://theobroma.in/products/lemon-tart,Desserts,200,2063,Yes,Yes,200,Email Campaign,cakes-campaign,32,18,Returning,https://theobroma.in/products/lemon-tart,Yes,No,Mobile,Chrome,27-02-2025,Qualified
L103,Megha,Mehta,megha.mehta48@gmail.com,8863066090,Mysore,Maharashtra,India,2,19-01-2025,25-02-2025,234,3513,6,09:00-18:00,https://theobroma.in/products/overload-brownie,https://theobroma.in/products/overload-brownie,Brownies,500,2077,Yes,Yes,500,Facebook,cakes-campaign,17,8,New,https://theobroma.in/products/overload-brownie,No,Yes,Mobile,Safari,25-02-2025,Lead
L104,Neha,Kulkarni,neha.kulkarni41@gmail.com,7247891731,Nagpur,Karnataka,India,3,25-01-2025,19-02-2025,207,2690,16,09:00-18:00,https://theobroma.in/products/red-velvet-cake-1-2-kg,https://theobroma.in/products/red-velvet-cake-1-2-kg,Cakes,750,1523,Yes,No,0,Instagram,cakes-campaign,26,29,New,https://theobroma.in/products/red-velvet-cake-1-2-kg,No,Yes,Mobile,Edge,19-02-2025,Qualified
L105,Rajesh,Patel,rajesh.patel61@gmail.com,9397852953,Delhi,Haryana,India,15,18-01-2025,20-02-2025,225,4170,20,09:00-18:00,https://theobroma.in/products/millionaire-brownie,https://theobroma.in/products/millionaire-brownie,Brownies,460,3035,Yes,Yes,460,Organic Search,cakes-campaign,11,21,Returning,https://theobroma.in/products/millionaire-brownie,No,No,Mobile,Edge,20-02-2025,Active
L106,Ajay,Kumar,ajay.kumar66@gmail.com,9064551464,Nagpur,Rajasthan,India,9,03-01-2025,24-02-2025,209,2865,16,09:00-18:00,https://theobroma.in/products/banoffee-tart,https://theobroma.in/products/banoffee-tart,Desserts,220,811,Yes,No,0,Direct,cakes-campaign,12,34,New,https://theobroma.in/products/banoffee-tart,No,No,Desktop,Safari,24-02-2025,Customer
L107,Preeti,Rathod,preeti.rathod63@gmail.com,8479090660,Indore,West Bengal,India,3,15-12-2024,22-02-2025,274,2467,20,09:00-18:00,https://theobroma.in/products/choco-chip-brownie,https://theobroma.in/products/choco-chip-brownie,Brownies,450,1906,Yes,Yes,450,Direct,cakes-campaign,97,20,New,https://theobroma.in/products/choco-chip-brownie,No,No,Desktop,Safari,22-02-2025,Active
L108,Swati,Reddy,swati.reddy89@gmail.com,7257692009,Cochin,Delhi,India,8,23-12-2024,22-02-2025,393,4977,16,09:00-18:00,https://theobroma.in/products/fresh-fruit-cream-cake,https://theobroma.in/products/fresh-fruit-cream-cake,Cakes,980,1165,No,Yes,980,Instagram,cakes-campaign,59,12,New,https://theobroma.in/products/fresh-fruit-cream-cake,Yes,Yes,Tablet,Edge,22-02-2025,Customer
L109,Rajesh,Ray,rajesh.ray31@gmail.com,8388758378,Chennai,Delhi,India,8,28-01-2025,25-02-2025,231,3432,8,09:00-18:00,https://theobroma.in/products/dense-loaf-350g,https://theobroma.in/products/dense-loaf-350g,Breads,180,520,Yes,Yes,180,Social Media,cakes-campaign,44,34,New,https://theobroma.in/products/dense-loaf-350g,Yes,No,Desktop,Chrome,25-02-2025,Customer
L110,Amit,Kapoor,amit.kapoor93@gmail.com,8519825732,Ahmedabad,Rajasthan,India,14,17-01-2025,28-02-2025,114,4022,6,09:00-18:00,https://theobroma.in/products/fresh-cream-pineapple-cake-1-kg,https://theobroma.in/products/fresh-cream-pineapple-cake-1-kg,Cakes,950,1484,Yes,No,0,Instagram,cakes-campaign,37,44,Returning,https://theobroma.in/products/fresh-cream-pineapple-cake-1-kg,Yes,Yes,Tablet,Safari,28-02-2025,Customer
L111,Sumit,Vinay,sumit.vinay68@gmail.com,7025946492,Indore,Rajasthan,India,2,10-01-2025,23-02-2025,292,3165,11,09:00-18:00,https://theobroma.in/products/strawberry-custard-cake-1,https://theobroma.in/products/strawberry-custard-cake-1,Cakes,750,4362,Yes,Yes,750,Organic Search,cakes-campaign,100,31,Returning,https://theobroma.in/products/strawberry-custard-cake-1,Yes,No,Desktop,Edge,23-02-2025,Lead
L112,Kavita,Bhatt,kavita.bhatt48@gmail.com,9455677952,Varanasi,Haryana,India,9,06-12-2024,19-02-2025,101,671,9,09:00-18:00,https://theobroma.in/products/strawberry-custard-cake-1,https://theobroma.in/products/strawberry-custard-cake-1,Cakes,750,2802,Yes,No,0,Email Campaign,cakes-campaign,10,34,Returning,https://theobroma.in/products/strawberry-custard-cake-1,Yes,No,Tablet,Safari,19-02-2025,Customer
L113,Riya,Joshi,riya.joshi61@gmail.com,9132999918,Kanpur,Maharashtra,India,9,17-12-2024,28-02-2025,331,1601,18,09:00-18:00,https://theobroma.in/products/banoffee-tart,https://theobroma.in/products/banoffee-tart,Desserts,220,3318,Yes,No,0,Organic Search,cakes-campaign,44,5,Returning,https://theobroma.in/products/banoffee-tart,Yes,No,Desktop,Safari,28-02-2025,Active
L114,Nitin,Sharma,nitin.sharma7@gmail.com,7613488559,Hyderabad,Delhi,India,3,02-12-2024,24-02-2025,369,4283,6,09:00-18:00,https://theobroma.in/products/chocoholic-mousse-pastry,https://theobroma.in/products/chocoholic-mousse-pastry,Pastries,280,2679,Yes,No,0,Social Media,cakes-campaign,75,17,New,https://theobroma.in/products/chocoholic-mousse-pastry,No,No,Tablet,Chrome,24-02-2025,Customer
L115,Divya,Jog,divya.jog77@gmail.com,9512164675,Ahmedabad,Gujarat,India,6,29-12-2024,24-02-2025,319,786,2,09:00-18:00,https://theobroma.in/products/banoffee-tart,https://theobroma.in/products/banoffee-tart,Desserts,220,1672,Yes,Yes,220,Facebook,cakes-campaign,94,13,New,https://theobroma.in/products/banoffee-tart,Yes,No,Tablet,Chrome,24-02-2025,Qualified
L116,Neha,Misra,neha.misra90@gmail.com,8211108464,Mumbai,Rajasthan,India,1,24-01-2025,28-02-2025,220,3566,12,09:00-18:00,https://theobroma.in/products/banoffee-tart,https://theobroma.in/products/banoffee-tart,Desserts,220,3994,Yes,Yes,220,Google Ads,cakes-campaign,72,9,Returning,https://theobroma.in/products/banoffee-tart,Yes,Yes,Desktop,Safari,28-02-2025,Customer
L117,Neha,Agarwal,neha.agarwal60@gmail.com,9163661624,Pune,Telangana,India,12,08-12-2024,27-02-2025,187,847,12,09:00-18:00,https://theobroma.in/products/lemon-tart,https://theobroma.in/products/lemon-tart,Desserts,200,1333,Yes,Yes,200,Email Campaign,cakes-campaign,70,39,New,https://theobroma.in/products/lemon-tart,Yes,No,Mobile,Safari,27-02-2025,Active
L118,Manoj,Joshi,manoj.joshi49@gmail.com,9748822208,Chennai,Uttar Pradesh,India,1,02-12-2024,24-02-2025,310,2333,1,09:00-18:00,https://theobroma.in/products/overload-brownie,https://theobroma.in/products/overload-brownie,Brownies,500,822,Yes,No,0,Instagram,cakes-campaign,64,18,Returning,https://theobroma.in/products/overload-brownie,No,No,Tablet,Edge,24-02-2025,Customer
L119,Anurag,Agarwal,anurag.agarwal56@gmail.com,7553398563,Gurgaon,Madhya Pradesh,India,9,30-12-2024,21-02-2025,352,416,11,09:00-18:00,https://theobroma.in/products/fresh-fruit-cream-cake,https://theobroma.in/products/fresh-fruit-cream-cake,Cakes,980,3075,Yes,Yes,980,Direct,cakes-campaign,76,50,Returning,https://theobroma.in/products/fresh-fruit-cream-cake,Yes,No,Desktop,Edge,21-02-2025,Customer
L120,Swati,Malhotra,swati.malhotra11@gmail.com,7328687229,Dehradun,Kerala,India,15,30-12-2024,28-02-2025,240,2880,16,09:00-18:00,https://theobroma.in/products/red-velvet-cake-1-2-kg,https://theobroma.in/products/red-velvet-cake-1-2-kg,Cakes,750,579,Yes,No,0,Instagram,cakes-campaign,24,50,New,https://theobroma.in/products/red-velvet-cake-1-2-kg,Yes,No,Mobile,Safari,28-02-2025,Lead
L121,Divya,Bhardwaj,divya.bhardwaj7@gmail.com,8053162095,Cochin,Tamil Nadu,India,8,12-12-2024,22-02-2025,158,4704,19,09:00-18:00,https://theobroma.in/products/millionaire-brownie,https://theobroma.in/products/millionaire-brownie,Brownies,460,3557,Yes,Yes,460,Facebook,cakes-campaign,82,7,Returning,https://theobroma.in/products/millionaire-brownie,No,Yes,Mobile,Chrome,22-02-2025,Lead
L122,Sanjay,Ray,sanjay.ray28@gmail.com,9741944985,Cochin,Gujarat,India,7,03-01-2025,20-02-2025,265,2982,2,09:00-18:00,https://theobroma.in/products/dutch-truffle-cake-1-2-kg,https://theobroma.in/products/dutch-truffle-cake-1-2-kg,Cakes,850,1916,Yes,Yes,850,Instagram,cakes-campaign,27,28,New,https://theobroma.in/products/dutch-truffle-cake-1-2-kg,Yes,Yes,Desktop,Safari,20-02-2025,Active
L123,Manisha,Verma,manisha.verma42@gmail.com,7880852267,Indore,Karnataka,India,11,18-01-2025,21-02-2025,305,1708,12,09:00-18:00,https://theobroma.in/products/banoffee-tart,https://theobroma.in/products/banoffee-tart,Desserts,220,903,Yes,No,0,Google Ads,cakes-campaign,87,11,New,https://theobroma.in/products/banoffee-tart,No,Yes,Tablet,Edge,21-02-2025,Lead
