lead_id,name,title,company,region,lead_source,visits,time_on_site,pages_per_visit,converted,page_link,opportunity_id,product,deal_stage,close_value,intent_score,status,close_date,engage_date,email
L_JX_075,Oliver Davis,Jewelry Collector,Tiffany,Asia Pacific,Word of Mouth,1,14.6,12,True,https://www.tiffany.com/jewelry/necklaces-pendants/elsa-peretti-open-heart-pendant-11k-yellow-gold-1904359410.html,OP_JX_175,"Open Heart Pendant in Yellow Gold, 11 mm",Qualification,19393,81,Ready,2024-12-28,2024-11-23 00:00:00,oliver.davis@gmail.com
L_JX_076,Aria Torres,Corporate Buyer,Tiffany,Oceania,Forbes Ad,10,31.3,11,False,https://www.tiffany.com/jewelry/necklaces-pendants/return-to-tiffany-18k-rose-gold-necklaces-pendants-1364377759.html,OP_JX_176,"Heart Tag Pendant in Rose Gold, Mini",Initial Contact,28601,48,Cold,,2024-11-02 00:00:00,aria.torres@gmail.com
L_JX_077,Jack King,Corporate Buyer,Tiffany,Asia Pacific,Facebook,14,12.9,7,True,https://www.tiffany.com/jewelry/necklaces-pendants/elsa-peretti-open-heart-pendant-7k-yellow-gold-1904359402.html,OP_JX_177,"Open Heart Pendant in Yellow Gold, 7 mm",Proposal,7790,53,Pending,2024-12-10,2024-11-13 00:00:00,jack.king@gmail.com
L_JX_078,Sebastian Young,Gift Buyer,Tiffany,Middle East,Google Search,2,30.6,9,False,https://www.tiffany.com/jewelry/necklaces-pendants/elsa-peretti-open-heart-pendant-7k-yellow-gold-1904359402.html,OP_JX_178,"Open Heart Pendant in Yellow Gold, 7 mm",Proposal,18617,36,Cold,,2024-11-15 00:00:00,sebastian.young@gmail.com
L_JX_079,Henry Robinson,Corporate Buyer,Tiffany,Europe,Pinterest,4,9.8,12,True,https://www.tiffany.com/jewelry/necklaces-pendants/18k-rose-gold-round-brilliant-diamonds-necklaces-pendants-1904170050.html,OP_JX_179,Olive Leaf Pendant in Rose Gold,Closed Won,20556,12,In Progress,2024-12-20,2024-11-30 00:00:00,henry.robinson@gmail.com
L_JX_080,Liam Brown,Wedding Planner,Tiffany,Western Europe,Referral,11,40.8,1,True,https://www.tiffany.com/jewelry/necklaces-pendants/picasso-graffiti-18k-yellow-gold-necklaces-pendants-1904370941.html,OP_JX_180,Love Pendant (Paloma's Graffiti),Lead,12164,20,Cold,2024-12-27,2024-11-03 00:00:00,liam.brown@gmail.com
L_JX_081,Victoria Flores,Anniversary Buyer,Tiffany,North America,Direct,3,18.0,7,True,https://www.tiffany.com/jewelry/necklaces-pendants/tiffany-t-smile-pendant-1364371976.html,OP_JX_181,"Smile Pendant in Yellow Gold, Small",Initial Contact,11398,50,Hot,2024-12-04,2024-11-02 00:00:00,victoria.flores@gmail.com
L_JX_082,Daniel Ramirez,Style Blogger,Tiffany,East Asia,LinkedIn,6,36.2,9,False,https://www.tiffany.com/jewelry/necklaces-pendants/ep-religious-signs-symbols-18k-yellow-gold-necklaces-pendants-1414152075.html,OP_JX_182,Star of David Pendant,Proposal,13255,41,Pending,,2024-10-10 00:00:00,daniel.ramirez@gmail.com
L_JX_083,Alexander Martin,Wedding Planner,Tiffany,Europe,Referral,12,1.5,12,True,https://www.tiffany.com/jewelry/necklaces-pendants/loving-heart-18k-yellow-gold-necklaces-pendants-1904371202.html,OP_JX_183,Loving Heart Pendant,Proposal,1165,36,In Progress,2024-12-04,2024-11-17 00:00:00,alexander.martin@gmail.com
L_JX_084,Abigail Lee,Style Blogger,Tiffany,Asia Pacific,Facebook,7,15.0,4,True,https://www.tiffany.com/jewelry/necklaces-pendants/loving-heart-18k-yellow-gold-necklaces-pendants-1904371202.html,OP_JX_184,Loving Heart Pendant,Initial Contact,16094,14,Pending,2024-12-30,2024-10-05 00:00:00,abigail.lee@gmail.com
L_JX_085,Camila Wright,Gift Buyer,Tiffany,East Asia,Partnership,7,1.3,2,False,https://www.tiffany.com/jewelry/necklaces-pendants/loving-heart-18k-yellow-gold-necklaces-pendants-1904371202.html,OP_JX_185,Loving Heart Pendant,Negotiation,22494,19,Converted,,2024-10-17 00:00:00,camila.wright@gmail.com
L_JX_086,Sebastian Young,Gift Buyer,Tiffany,Middle East,LinkedIn,14,36.8,5,True,https://www.tiffany.com/jewelry/necklaces-pendants/tiffany-t-smile-pendant-mini-1364340236.html,OP_JX_186,"Smile Pendant in Yellow Gold, Mini",Proposal,17679,81,Ready,2024-12-05,2024-10-26 00:00:00,sebastian.young@gmail.com
L_JX_087,Michael Sanchez,Style Blogger,Tiffany,Asia Pacific,Facebook,12,10.4,1,True,https://www.tiffany.com/jewelry/necklaces-pendants/tiffany-t-smile-pendant-mini-1364340236.html,OP_JX_187,"Smile Pendant in Yellow Gold, Mini",Closed Won,11877,18,Hot,2024-12-29,2024-11-03 00:00:00,michael.sanchez@gmail.com
L_JX_088,Henry Robinson,Luxury Shopper,Tiffany,Oceania,Partnership,2,7.0,9,True,https://www.tiffany.com/jewelry/necklaces-pendants/palomas-olive-leaf-18k-yellow-gold-natural-freshwater-pearl-necklaces-pendants-1904583607.html,OP_JX_188,Olive Leaf Pendant in Yellow Gold with Pearls,Closed Won,26547,15,Cold,2024-12-29,2024-11-14 00:00:00,henry.robinson@gmail.com
L_JX_089,Isabella Rodriguez,Anniversary Buyer,Tiffany,Western Europe,Instagram,9,6.0,6,True,https://www.tiffany.com/jewelry/necklaces-pendants/palomas-olive-leaf-18k-yellow-gold-natural-freshwater-pearl-necklaces-pendants-1904583607.html,OP_JX_189,Olive Leaf Pendant in Yellow Gold with Pearls,Proposal,13166,39,Converted,2024-12-05,2024-10-16 00:00:00,isabella.rodriguez@gmail.com
L_JX_090,Evelyn Jackson,Jewelry Collector,Tiffany,North America,Partnership,10,32.0,9,True,https://www.tiffany.com/jewelry/necklaces-pendants/elsa-peretti-open-heart-pendant-7k-yellow-gold-1904359402.html,OP_JX_190,"Open Heart Pendant in Yellow Gold, 7 mm",Lead,28806,35,Cold,2024-12-27,2024-10-14 00:00:00,evelyn.jackson@gmail.com
L_JX_091,Harper Thomas,Gift Buyer,Tiffany,North America,Facebook,6,4.4,7,True,https://www.tiffany.com/jewelry/necklaces-pendants/palomas-olive-leaf-18k-yellow-gold-necklaces-pendants-1904368010.html,OP_JX_191,Olive Leaf Vine Pendant,Proposal,15743,42,Converted,2024-12-08,2024-11-30 00:00:00,harper.thomas@gmail.com
L_JX_092,Lily Gomez,Anniversary Buyer,Tiffany,Oceania,Pinterest,2,22.1,8,False,https://www.tiffany.com/jewelry/necklaces-pendants/loving-heart-18k-yellow-gold-necklaces-pendants-1904371202.html,OP_JX_192,Loving Heart Pendant,Lead,11543,98,Cold,,2024-11-25 00:00:00,lily.gomez@gmail.com
L_JX_093,David Nguyen,Style Blogger,Tiffany,East Asia,LinkedIn,12,33.3,8,True,https://www.tiffany.com/jewelry/necklaces-pendants/18k-rose-gold-round-brilliant-diamonds-necklaces-pendants-1904170050.html,OP_JX_193,Olive Leaf Pendant in Rose Gold,Closed Won,1559,58,Pending,2024-12-11,2024-10-10 00:00:00,david.nguyen@gmail.com
L_JX_094,Charlotte Gonzalez,Fashion Enthusiast,Tiffany,Western Europe,Referral,13,17.9,4,True,https://www.tiffany.com/jewelry/necklaces-pendants/palomas-olive-leaf-18k-yellow-gold-necklaces-pendants-1904368010.html,OP_JX_194,Olive Leaf Vine Pendant,Proposal,19114,52,Converted,2024-12-31,2024-10-31 00:00:00,charlotte.gonzalez@gmail.com
L_JX_095,Logan Moore,Corporate Buyer,Tiffany,Western Europe,Facebook,15,19.3,11,False,https://www.tiffany.com/jewelry/necklaces-pendants/ep-diamonds-by-the-yard-18k-yellow-gold-round-brilliant-diamonds-necklaces-pendants-1424550743.html,OP_JX_195,Diamonds by the Yard® Single Diamond Pendant in Yellow Gold (0.03 ct),Proposal,4765,92,In Progress,,2024-11-13 00:00:00,logan.moore@gmail.com
L_JX_096,Michael Sanchez,Style Blogger,Tiffany,East Asia,Forbes Ad,10,1.9,12,True,https://www.tiffany.com/jewelry/necklaces-pendants/ep-diamonds-by-the-yard-18k-yellow-gold-round-brilliant-diamonds-necklaces-pendants-1424550743.html,OP_JX_196,Diamonds by the Yard® Single Diamond Pendant in Yellow Gold (0.03 ct),Closed Won,21390,59,Converted,2024-12-20,2024-10-24 00:00:00,michael.sanchez@gmail.com
L_JX_097,Wyatt Rivera,Style Blogger,Tiffany,Middle East,Word of Mouth,7,43.4,10,True,https://www.tiffany.com/jewelry/necklaces-pendants/return-to-tiffany-18k-rose-gold-necklaces-pendants-1364377759.html,OP_JX_197,"Heart Tag Pendant in Rose Gold, Mini",Lead,10827,18,Ready,2024-12-11,2024-10-10 00:00:00,wyatt.rivera@gmail.com
L_JX_098,Oliver Davis,Engagement Shopper,Tiffany,East Asia,Forbes Ad,13,15.7,3,False,https://www.tiffany.com/jewelry/necklaces-pendants/loving-heart-18k-yellow-gold-necklaces-pendants-1904371202.html,OP_JX_198,Loving Heart Pendant,Initial Contact,23772,76,Hot,,2024-11-27 00:00:00,oliver.davis@gmail.com
L_JX_099,Joseph Adams,Jewelry Collector,Tiffany,North America,LinkedIn,1,22.7,9,False,https://www.tiffany.com/jewelry/necklaces-pendants/palomas-olive-leaf-18k-yellow-gold-natural-freshwater-pearl-necklaces-pendants-1904583607.html,OP_JX_199,Olive Leaf Pendant in Yellow Gold with Pearls,Closed Won,19855,98,Pending,,2024-10-29 00:00:00,joseph.adams@gmail.com
L_JX_100,Joseph Adams,Wedding Planner,Tiffany,Asia Pacific,Facebook,15,35.2,12,True,https://www.tiffany.com/jewelry/necklaces-pendants/tiffany-t-smile-pendant-mini-1364340236.html,OP_JX_200,"Smile Pendant in Yellow Gold, Mini",Proposal,19128,52,Ready,2024-12-19,2024-11-21 00:00:00,joseph.adams@gmail.com
