lead_id,name,company,title,industry,region,website_visits,pages_per_visit,time_on_site,content_downloads,lead_source,converted,stage
L03527,Jonathan Meadows,Reynolds Group,Growth Lead,Consulting,North America,10,2.5,307,0,Direct Traffic,0,Closed Lost
L03528,Joseph Rivers,Ford LLC,Sales Director,Finance,Africa,5,5.0,71,0,Google,0,Prospecting
L03529,Frances Blake,Lewis LLC,VP of Marketing,Healthcare,South America,25,2.08,1569,0,Direct Traffic,1,Prospecting
L03530,Natalie Lee,Welch and Sons,Sales Director,Software,Oceania,4,4.0,10,0,Google,0,Prospecting
L03531,Angela Owens,"Hernandez, Lee and Fleming",Revenue Ops Analyst,Healthcare,Europe,5,5.0,676,2,Google,1,Closed Won
L03532,Michelle Fowler,Miller-Long,Account Manager,Healthcare,North America,4,4.0,1055,0,Google,1,Prospecting
L03533,Samantha Hurst,"Wood, Kennedy and Nichols",Revenue Ops Analyst,Retail,Oceania,3,3.0,1575,0,Google,1,Prospecting
L03534,Victor Montes,Sutton Ltd,VP of Marketing,Manufacturing,Oceania,0,0.0,0,1,Olark Chat,0,Negotiation
L03535,Kathleen Brown,Cook-Payne,Growth Lead,Retail,Asia,1,1.0,1770,0,Reference,1,Prospecting
L03536,Shannon Burke,Cruz LLC,Sales Director,Finance,Asia,0,0.0,0,0,Olark Chat,1,Negotiation
L03537,Sheryl Stark,"Costa, Porter and Smith",Chief Product Officer,Software,Africa,4,2.0,248,1,Referral Sites,0,Qualification
L03538,Robert Brown,Campbell-Avila,Revenue Ops Analyst,Software,Europe,3,3.0,166,1,Organic Search,0,Closed Won
L03539,Catherine Noble,Zimmerman PLC,Sales Director,Consulting,Europe,3,3.0,399,0,Organic Search,0,Qualification
L03540,Crystal Bryant,Garza LLC,Growth Lead,Healthcare,Europe,0,0.0,0,0,Olark Chat,0,Prospecting
L03541,Michael Potts,Morris-Perez,VP of Marketing,Software,South America,0,0.0,0,0,Olark Chat,0,Prospecting
L03542,Gerald Chavez,Martinez-Parks,Sales Director,Healthcare,Europe,2,2.0,181,0,Google,0,Closed Won
L03543,Christopher Miles,Wade Group,Business Development Executive,Retail,Africa,4,4.0,417,1,Organic Search,0,Closed Lost
L03544,Joshua Wood,Wagner PLC,Revenue Ops Analyst,Healthcare,Oceania,8,2.67,367,0,Google,0,Negotiation
L03545,Katherine Powell,Matthews and Sons,Revenue Ops Analyst,Healthcare,South America,0,0.0,0,1,Olark Chat,0,Proposal
L03546,Douglas West,"Vasquez, Weaver and Brown",Account Manager,Healthcare,North America,5,2.5,245,0,Organic Search,0,Prospecting
L03547,Justin Fisher,"Smith, Lyons and Robbins",Chief Product Officer,Retail,Asia,6,3.0,968,0,Referral Sites,0,Closed Lost
L03548,John Mullins,Bradford-Marquez,Revenue Ops Analyst,Manufacturing,Oceania,4,4.0,436,0,Referral Sites,0,Qualification
L03549,Kathryn Lester,Garrett PLC,VP of Marketing,Finance,Africa,20,2.0,1334,0,Google,0,Closed Lost
L03550,David Thompson,"Fuller, Jones and Torres",Revenue Ops Analyst,Retail,Asia,6,3.0,1073,1,Direct Traffic,0,Prospecting
L03551,Kevin Wilkinson,"Glass, Carter and Snow",Business Development Executive,Healthcare,Europe,0,0.0,0,0,Olark Chat,0,Qualification
L03552,Mr. Ryan Kidd,Holmes-Rivera,Account Manager,Technology,Asia,3,3.0,19,0,Direct Traffic,0,Qualification
L03553,Bradley Flores,Thomas-Paul,Account Manager,Technology,Asia,2,2.0,1089,0,Google,1,Closed Lost
L03554,Darlene Kennedy,"Bennett, Henry and Marks",Sales Director,Technology,South America,2,2.0,640,0,Direct Traffic,1,Negotiation
L03555,Aaron Sherman,Romero Ltd,Account Manager,Healthcare,Asia,5,5.0,993,1,Google,0,Closed Won
L03556,William Sawyer,Castillo LLC,VP of Marketing,Healthcare,Asia,3,1.5,110,0,Google,0,Qualification
L03557,Keith Jimenez,Guerra PLC,Chief Product Officer,Manufacturing,Africa,3,3.0,1545,0,Google,1,Proposal
L03558,Shelley Williams,James LLC,Sales Director,Healthcare,South America,3,1.5,1087,1,Direct Traffic,1,Closed Lost
L03559,Laura Jones,"Woodard, Jackson and Schmidt",Account Manager,Manufacturing,Europe,7,1.75,998,0,Organic Search,1,Qualification
L03560,Kimberly Contreras,Guzman-Bailey,Head of Sales,Healthcare,Asia,3,3.0,714,0,Google,1,Qualification
L03561,Jennifer Robinson,Trevino-Gonzalez,Head of Sales,Healthcare,Africa,8,8.0,137,1,Organic Search,0,Qualification
L03562,Justin Jones,Wagner Inc,Growth Lead,Consulting,Europe,0,0.0,0,1,Olark Chat,0,Closed Lost
L03563,Brent Williams,Terry PLC,Marketing Manager,Healthcare,Europe,5,5.0,376,0,Google,0,Qualification
L03564,Tonya Campbell,"Callahan, Thomas and Howard",VP of Marketing,Software,Asia,5,5.0,110,1,Organic Search,0,Proposal
L03565,Gabriel Park,"Dean, Gonzalez and Mendez",Business Development Executive,Retail,South America,2,2.0,311,0,Direct Traffic,1,Prospecting
L03566,Amanda Thomas,Walters Ltd,Growth Lead,Healthcare,Europe,2,2.0,107,0,Direct Traffic,1,Closed Lost
L03567,Rachel Phillips,Jordan-Mosley,Chief Product Officer,Consulting,South America,0,0.0,0,1,Olark Chat,0,Prospecting
L03568,Melissa Morgan,Ward-Lloyd,Business Development Executive,Technology,South America,5,1.25,335,0,Direct Traffic,0,Qualification
L03569,Mark Wood,"Simmons, Murphy and Taylor",Account Manager,Retail,Europe,2,2.0,441,2,Google,0,Prospecting
L03570,Shannon Rivera,Williams-Simmons,Sales Director,Retail,Europe,3,1.5,150,0,Referral Sites,0,Proposal
L03571,Nicholas Thomas,Chen-Harrison,Chief Product Officer,Technology,Asia,11,11.0,4,0,Organic Search,0,Negotiation
L03572,Brandon Daniel,Osborne Inc,Growth Lead,Manufacturing,South America,0,0.0,0,0,Olark Chat,0,Closed Won
L03573,Heidi Wright,Henderson-Craig,Marketing Manager,Healthcare,Europe,4,2.0,940,0,Direct Traffic,1,Closed Won
L03574,Eric Lara,Herring LLC,Marketing Manager,Technology,South America,4,4.0,18,0,Google,0,Proposal
L03575,John Mullins,Bradford-Marquez,Revenue Ops Analyst,Technology,Oceania,4,4.0,436,0,Referral Sites,0,Closed Won
L03576,Alexis Pope,Lopez-Parker,VP of Marketing,Software,South America,7,3.5,229,0,Organic Search,0,Qualification
L03577,Jeffrey Mathis,Melton-Howard,Head of Sales,Consulting,South America,21,2.63,1113,0,Organic Search,1,Proposal
L03578,Jonathan Davies,Bauer Inc,VP of Marketing,Consulting,North America,9,4.5,1309,0,Organic Search,0,Qualification
L03579,Sherri Mathis,Morris Inc,Revenue Ops Analyst,Manufacturing,Europe,5,5.0,439,1,Google,0,Prospecting
L03580,Kevin Cross,Cox LLC,Head of Sales,Technology,Europe,3,3.0,1319,0,Google,1,Prospecting
L03581,Kenneth Ward,Atkinson-Flores,Growth Lead,Retail,Oceania,2,2.0,176,0,Google,0,Prospecting
L03582,Mckenzie Frey,Henderson Inc,Account Manager,Healthcare,Asia,2,2.0,387,0,Organic Search,0,Negotiation
L03583,Cheryl Parker,"Ward, Logan and Schneider",Business Development Executive,Consulting,Europe,11,2.2,523,0,Google,1,Proposal
L03584,Richard Bowman,"Lee, Young and Evans",Marketing Manager,Retail,South America,3,3.0,1362,2,Google,1,Qualification
L03585,Amy Alvarez,"Long, Price and Wood",Revenue Ops Analyst,Consulting,Europe,3,3.0,1528,0,Google,1,Closed Lost
L03586,Kaitlin Sherman,"Heath, Zhang and Gibson",Growth Lead,Technology,Europe,3,1.5,117,0,Google,1,Prospecting
L03587,Jessica Brown,Reilly-Jones,Marketing Manager,Software,Europe,3,3.0,4,1,Direct Traffic,0,Prospecting
L03588,Lori Thompson,Rodriguez Ltd,VP of Marketing,Consulting,Asia,4,4.0,1670,0,Google,1,Proposal
L03589,Ryan Martin,Gordon-Burton,Growth Lead,Healthcare,South America,17,8.5,409,0,Organic Search,0,Prospecting
L03590,Jacob Brown,Stokes Group,Marketing Manager,Retail,Asia,0,0.0,0,1,Olark Chat,0,Qualification
L03591,Samantha Vazquez,"Herrera, Reyes and Nguyen",Marketing Manager,Technology,Asia,4,2.0,1052,1,Google,1,Negotiation
L03592,Paula Huynh,Lambert Ltd,Growth Lead,Consulting,Europe,4,4.0,1052,0,Direct Traffic,1,Closed Won
L03593,Shaun Baldwin,"Washington, Ramirez and Hancock",Chief Product Officer,Manufacturing,Europe,3,3.0,303,0,Referral Sites,0,Qualification
L03594,Alexis Welch,"Moore, Shaw and Davis",VP of Marketing,Consulting,Europe,115,8.21,187,0,Referral Sites,0,Prospecting
L03595,Courtney Gilbert PhD,Knight Ltd,Account Manager,Manufacturing,Africa,9,9.0,890,0,Google,0,Closed Lost
L03596,Matthew Davis,"Cook, Hamilton and Payne",Chief Product Officer,Technology,Oceania,6,3.0,1081,0,Direct Traffic,1,Qualification
L03597,Ricardo Nolan,Peterson-Walters,VP of Marketing,Consulting,South America,4,4.0,1811,0,Google,1,Proposal
L03598,Lisa Allen,Schaefer-Alvarez,Revenue Ops Analyst,Software,South America,1,1.0,100,0,Organic Search,0,Prospecting
L03599,Joseph Chen,Mcclure-Green,Business Development Executive,Software,Europe,2,2.0,312,2,Google,0,Prospecting
L03600,Tabitha Jones,Potts-Moore,Account Manager,Retail,Oceania,13,6.5,408,0,Organic Search,0,Closed Won
L03601,Ashley Murphy,"Stanley, Johnson and Mendoza",VP of Marketing,Software,Europe,14,14.0,1627,3,Organic Search,1,Prospecting
L03602,Susan Guerrero,Patterson-Hamilton,Head of Sales,Finance,Asia,0,0.0,0,0,Olark Chat,0,Qualification
L03603,Breanna Curtis,Smith PLC,Sales Director,Software,Europe,3,3.0,512,2,Google,1,Prospecting
L03604,Jo Weiss,Johnston-Lewis,VP of Marketing,Software,South America,2,2.0,134,0,Google,0,Prospecting
L03605,Vanessa Greene,"Andrade, Blair and Bruce",Marketing Manager,Software,Asia,5,1.67,908,0,Google,1,Qualification
L03606,Laura Jones,"Woodard, Jackson and Schmidt",Account Manager,Software,Europe,7,1.75,998,2,Organic Search,1,Closed Lost
L03607,Jasmine Miller,"Moore, Gentry and Smith",Account Manager,Consulting,Oceania,3,3.0,185,1,Organic Search,0,Proposal
L03608,Kathryn Hill,Hart Ltd,Chief Product Officer,Retail,Oceania,0,0.0,0,0,Olark Chat,1,Prospecting
L03609,Diana Horton,Smith-Jordan,Revenue Ops Analyst,Software,Africa,0,0.0,0,0,Olark Chat,0,Prospecting
L03610,Travis Hunter,Thompson Inc,Business Development Executive,Healthcare,North America,8,8.0,186,0,Organic Search,0,Prospecting
L03611,Paul Greene,Johnson-Lewis,Business Development Executive,Technology,South America,3,3.0,1143,0,Google,1,Negotiation
L03612,Susan Gibson,Parker Inc,Marketing Manager,Technology,Oceania,1,1.0,1203,0,Google,1,Qualification
L03613,Katelyn Becker,"Baker, George and Harper",Chief Product Officer,Healthcare,Asia,2,2.0,1558,0,Direct Traffic,1,Negotiation
L03614,Chris Williams,"Sanchez, Dawson and Velez",VP of Marketing,Finance,South America,3,3.0,694,2,Organic Search,0,Negotiation
L03615,Erik Valdez,"Walker, Dean and Snyder",Head of Sales,Finance,South America,0,0.0,0,1,Facebook,0,Prospecting
L03616,Jacqueline Rivera,Rosario-Fleming,VP of Marketing,Technology,Europe,5,1.25,271,2,Organic Search,0,Negotiation
L03617,Cody Brown,Winters PLC,Chief Product Officer,Technology,Asia,3,1.5,430,1,Olark Chat,1,Qualification
L03618,Joyce Rush,Carter LLC,Head of Sales,Technology,Oceania,0,0.0,0,0,Olark Chat,1,Negotiation
L03619,Tommy Torres,"Hardy, Mcmillan and Lewis",Chief Product Officer,Healthcare,South America,4,4.0,125,0,Google,0,Prospecting
L03620,Michelle Sandoval,Simmons LLC,Account Manager,Technology,Oceania,3,3.0,48,1,Organic Search,0,Prospecting
L03621,Yvonne Brown,Salazar-Ramirez,Business Development Executive,Manufacturing,Europe,0,0.0,0,0,Facebook,0,Closed Won
L03622,Emily Lloyd,Baird-Morris,Chief Product Officer,Software,Oceania,1,1.0,251,0,Direct Traffic,0,Closed Lost
L03623,Chad Garza,"Davis, Weiss and Guerrero",Head of Sales,Finance,Europe,2,2.0,341,0,Direct Traffic,0,Prospecting
L03624,Patrick Jackson,Novak-Wilson,Head of Sales,Software,Europe,0,0.0,0,0,Olark Chat,1,Qualification
L03625,Angel Mcdonald,"Christensen, Adams and Anderson",Sales Director,Retail,South America,3,3.0,214,1,Google,0,Proposal
L03626,Gregory Black,Frye Group,VP of Marketing,Manufacturing,Europe,0,0.0,0,0,Olark Chat,0,Closed Won
L03627,John Hill,Hart Group,Sales Director,Manufacturing,Africa,0,0.0,0,0,Reference,1,Closed Lost
L03628,Tyler Santana,"Allen, Rice and Nelson",Growth Lead,Technology,Europe,0,0.0,0,0,Olark Chat,0,Prospecting
L03629,Jasmine Watson,Navarro Ltd,Sales Director,Technology,Africa,3,3.0,1372,2,Direct Traffic,1,Closed Won
L03630,Gary Fleming,Huffman Ltd,Business Development Executive,Healthcare,Europe,7,7.0,52,0,Organic Search,0,Proposal
L03631,Katherine Lewis,"Booth, Moore and Marsh",Marketing Manager,Consulting,Asia,6,2.0,1295,2,Direct Traffic,1,Prospecting
L03632,Shannon Bennett,Rodriguez Ltd,VP of Marketing,Technology,Europe,3,3.0,1287,1,Direct Traffic,1,Prospecting
L03633,Matthew Brown,"Myers, White and Harris",Sales Director,Manufacturing,Europe,7,2.33,259,1,Referral Sites,0,Prospecting
L03634,Ian Smith,Glover-Smith,Revenue Ops Analyst,Finance,Oceania,0,0.0,0,1,Olark Chat,1,Proposal
L03635,Roger Cortez,"Gonzales, Lewis and Chavez",Marketing Manager,Technology,Africa,2,1.0,145,1,Google,1,Closed Won
L03636,Scott Garrett,Bender Inc,Marketing Manager,Consulting,Europe,4,4.0,339,0,Direct Traffic,0,Prospecting
L03637,Andrew Johnson,Castillo-Sandoval,Marketing Manager,Finance,Europe,0,0.0,0,0,Olark Chat,0,Prospecting
L03638,Kevin Howard,"Williams, Gibson and Lopez",Head of Sales,Manufacturing,Africa,4,2.0,1058,1,Organic Search,1,Prospecting
L03639,Joel Coleman,Wilson Group,Business Development Executive,Technology,Oceania,0,0.0,0,0,Olark Chat,0,Closed Lost
L03640,Tricia Garcia,Chavez Inc,Head of Sales,Consulting,Africa,2,2.0,1305,1,Direct Traffic,0,Negotiation
L03641,Brandon Parker,"Johnson, Mclaughlin and Johnson",Growth Lead,Consulting,Europe,1,1.0,176,1,Google,0,Prospecting
L03642,Matthew Wright,"Mcmillan, Mata and Fisher",Business Development Executive,Consulting,South America,6,6.0,1668,1,Google,1,Prospecting
L03643,Adrienne Hayes,"Spears, Silva and Black",Revenue Ops Analyst,Retail,Europe,2,2.0,368,0,welearnblog_Home,0,Proposal
L03644,Bruce Cole,Benson Inc,Account Manager,Healthcare,Europe,6,3.0,430,0,Google,0,Qualification
L03645,William Walker,Owens PLC,Revenue Ops Analyst,Software,Europe,2,2.0,305,0,Direct Traffic,0,Qualification
L03646,Carol Harrison,Wilson Inc,Revenue Ops Analyst,Healthcare,Africa,0,0.0,0,0,Olark Chat,0,Qualification
L03647,Cynthia Fernandez,"Thomas, Williams and Smith",Revenue Ops Analyst,Technology,Oceania,0,0.0,0,1,Olark Chat,0,Proposal
L03648,Savannah Howell,Owens Group,Head of Sales,Finance,Europe,0,0.0,0,1,Olark Chat,1,Qualification
L03649,Victoria Vazquez,"Hart, Scott and Anderson",Revenue Ops Analyst,Software,Asia,10,3.33,877,0,Google,0,Prospecting
L03650,Rose Wade,Jefferson-Hodge,Account Manager,Retail,Africa,2,2.0,129,0,Direct Traffic,1,Closed Won
L03651,James Gonzalez,Barnett and Sons,Business Development Executive,Consulting,South America,6,3.0,365,0,Google,0,Qualification
L03652,Pamela Harris,Smith LLC,Chief Product Officer,Manufacturing,South America,5,5.0,129,0,Google,0,Proposal
L03653,Roger Padilla,Wagner-Thomas,Growth Lead,Software,Europe,0,0.0,0,0,Olark Chat,1,Negotiation
L03654,Mrs. Lynn Brown,Thomas-Anderson,Sales Director,Consulting,Oceania,0,0.0,0,1,Olark Chat,0,Closed Lost
L03655,Travis Webb,May-Singleton,Marketing Manager,Retail,Oceania,0,0.0,0,0,Reference,1,Qualification
L03656,Amy Williamson,Parks LLC,Growth Lead,Technology,Asia,0,0.0,0,1,Reference,1,Closed Won
L03657,Margaret Davis,"Petersen, Caldwell and Forbes",Growth Lead,Manufacturing,Europe,7,2.33,1939,2,Google,0,Negotiation
L03658,Kathryn Anderson,"Mitchell, Garcia and Owens",Revenue Ops Analyst,Technology,Europe,5,5.0,1169,0,Google,1,Proposal
L03659,Patricia Townsend,"Lopez, Valdez and Medina",Account Manager,Manufacturing,Asia,3,3.0,1341,1,Google,1,Prospecting
L03660,Dennis Edwards,Horne-Novak,VP of Marketing,Consulting,Oceania,6,1.5,183,1,Google,0,Closed Won
L03661,Carrie Page,"Wilcox, Flowers and Wilson",Revenue Ops Analyst,Healthcare,Asia,6,6.0,294,0,Google,1,Prospecting
L03662,Mark Rodriguez,Taylor-Williams,VP of Marketing,Manufacturing,Oceania,0,0.0,0,0,Olark Chat,1,Qualification
L03663,Frederick Johnson,Wallace and Sons,Account Manager,Healthcare,Africa,19,4.75,1569,0,Organic Search,1,Proposal
L03664,Christopher Johnson,"Palmer, Baker and Owens",Chief Product Officer,Software,South America,0,0.0,0,0,Olark Chat,0,Prospecting
L03665,Bonnie Mathews,"Nelson, Cain and Yu",Marketing Manager,Retail,Asia,2,2.0,169,1,Google,0,Proposal
L03666,Michael Tate,Hernandez PLC,Account Manager,Technology,Asia,3,1.5,271,1,Organic Search,0,Prospecting
L03667,Justin Summers,Alvarado PLC,Chief Product Officer,Consulting,Europe,11,5.5,529,2,Organic Search,0,Closed Won
L03668,Mary Vazquez DVM,"Adams, Gutierrez and Gonzales",Revenue Ops Analyst,Technology,Oceania,4,1.33,1048,1,Google,1,Qualification
L03669,Robert Hamilton,Miller-Cole,Marketing Manager,Finance,Oceania,7,7.0,941,0,Organic Search,1,Prospecting
L03670,Amanda Davis,"Gonzalez, Parks and Ramirez",VP of Marketing,Retail,Europe,2,2.0,2020,2,Google,1,Negotiation
L03671,Darryl Scott,Schneider-Spence,Chief Product Officer,Retail,Oceania,5,5.0,1280,1,Google,1,Proposal
L03672,Brian Davis,Mendez-Benton,Marketing Manager,Finance,Oceania,0,0.0,0,0,Reference,1,Proposal
L03673,Elizabeth Oliver,"Stuart, Delgado and Evans",Marketing Manager,Technology,Asia,5,5.0,191,0,Organic Search,0,Qualification
L03674,Mary Williams,"Diaz, Robinson and Wise",Revenue Ops Analyst,Retail,Europe,5,2.5,371,1,Google,0,Qualification
L03675,April Moore,"Rogers, Thomas and Phillips",Account Manager,Healthcare,Oceania,4,4.0,849,1,Google,1,Negotiation
L03676,Jeffrey Powers,Young-Potter,Business Development Executive,Finance,Oceania,5,1.67,432,1,Google,0,Prospecting
L03677,Theresa Peters,Montgomery-Collins,Sales Director,Consulting,Africa,0,0.0,0,0,Olark Chat,0,Prospecting
L03678,Paige Jones,Mcbride and Sons,Revenue Ops Analyst,Manufacturing,Europe,0,0.0,0,0,Olark Chat,0,Proposal
L03679,Rickey Kelly,Garcia-English,VP of Marketing,Manufacturing,Europe,4,4.0,58,2,Google,0,Proposal
L03680,Wanda Williams,Robinson-Harrell,Sales Director,Finance,Europe,0,0.0,0,0,Olark Chat,0,Closed Lost
L03681,Claudia Simmons,Douglas-Logan,Chief Product Officer,Finance,Oceania,10,2.5,1318,0,Organic Search,0,Qualification
L03682,Karen Hardy,George PLC,Revenue Ops Analyst,Technology,South America,2,2.0,860,0,Organic Search,0,Qualification
L03683,Caitlin Howell,Esparza Ltd,Growth Lead,Manufacturing,Europe,7,2.33,324,0,Google,0,Qualification
L03684,Terry George,Wade-Vang,Revenue Ops Analyst,Technology,Europe,2,2.0,256,0,Organic Search,0,Closed Won
L03685,Richard Jones,Bean-Smith,Marketing Manager,Consulting,South America,0,0.0,0,0,Olark Chat,0,Proposal
L03686,Zachary Glover,Faulkner-Hill,Chief Product Officer,Technology,Europe,1,1.0,255,0,Google,0,Prospecting
L03687,Anita Hart,Perez PLC,Head of Sales,Finance,Europe,0,0.0,0,0,Reference,1,Qualification
L03688,Alexander Blackwell,"Keller, Myers and Ward",VP of Marketing,Finance,Asia,4,1.0,1219,1,Google,1,Prospecting
L03689,Randy Peterson,"Taylor, Thompson and Dean",Chief Product Officer,Retail,North America,0,0.0,0,0,Olark Chat,1,Proposal
L03690,Mitchell Sandoval,"Crawford, Chan and Peck",Head of Sales,Technology,South America,0,0.0,0,1,Olark Chat,0,Prospecting
L03691,Curtis Lee,Lopez-Ramos,Sales Director,Healthcare,Africa,4,4.0,298,0,Direct Traffic,0,Prospecting
L03692,David Griffin,Mitchell Inc,Business Development Executive,Technology,Asia,4,4.0,42,0,Direct Traffic,0,Prospecting
L03693,Erin Morris,Douglas-Rivera,VP of Marketing,Finance,Asia,2,2.0,602,1,Organic Search,0,Proposal
L03694,Craig Reed,Hayes Inc,VP of Marketing,Healthcare,North America,0,0.0,0,1,Welingak Website,1,Prospecting
L03695,Jane Jones,"Ho, Meyer and Sanchez",Head of Sales,Finance,Oceania,0,0.0,0,0,Reference,1,Negotiation
L03696,Diana Harris,Garcia-Martinez,Chief Product Officer,Finance,Africa,3,1.5,176,0,Google,0,Proposal
L03697,Warren Wallace,Nguyen-Sparks,Head of Sales,Consulting,Oceania,0,0.0,0,0,Olark Chat,1,Closed Won
L03698,Joshua Wilson,Jones and Sons,VP of Marketing,Retail,Asia,13,2.6,58,1,Google,0,Qualification
L03699,Jessica Brooks,Bryan-Barnes,Business Development Executive,Finance,South America,0,0.0,0,0,Olark Chat,0,Proposal
L03700,Hannah Castillo,Mendez-Cole,VP of Marketing,Manufacturing,South America,4,4.0,75,0,Referral Sites,0,Closed Lost
L03701,Patricia Morris,Johnson-Prince,Sales Director,Manufacturing,Europe,3,3.0,350,1,Direct Traffic,0,Prospecting
L03702,Linda Stein,Thornton and Sons,Marketing Manager,Healthcare,Oceania,2,2.0,7,0,Direct Traffic,0,Proposal
L03703,Brooke Galvan,"West, Downs and Hopkins",Head of Sales,Healthcare,Europe,3,3.0,7,0,Direct Traffic,0,Closed Won
L03704,Jason Curtis,Middleton-Jones,Marketing Manager,Healthcare,Europe,3,3.0,1379,0,Google,1,Closed Won
L03705,Leah Holmes,Avila-Christian,Marketing Manager,Manufacturing,South America,11,2.75,1478,0,Direct Traffic,1,Closed Lost
L03706,Edward Duke,"Robertson, Adams and Mathis",Head of Sales,Technology,South America,7,2.33,96,0,Organic Search,0,Prospecting
L03707,Robert Wade,Brown-Marsh,Head of Sales,Retail,North America,4,4.0,1225,0,Direct Traffic,1,Qualification
L03708,Michael Smith,Gray-Sullivan,Growth Lead,Finance,Europe,0,0.0,0,0,Reference,1,Closed Lost
L03709,Jose Raymond,Edwards Group,VP of Marketing,Finance,Oceania,4,2.0,187,0,Organic Search,0,Negotiation
L03710,Patricia Ross,"Hanson, Cox and Byrd",Sales Director,Software,Europe,3,3.0,950,1,Direct Traffic,1,Negotiation
L03711,Brian Scott,Brown Inc,Head of Sales,Retail,Oceania,6,6.0,332,2,Google,1,Proposal
L03712,Judith King,"Roy, Peters and Green",Revenue Ops Analyst,Retail,Europe,6,6.0,1525,1,Organic Search,1,Closed Won
L03713,John Wu,Green LLC,Chief Product Officer,Finance,Asia,2,1.0,1410,1,Google,0,Prospecting
L03714,Sharon Robbins,Fletcher LLC,Account Manager,Technology,Europe,6,6.0,296,0,Google,0,Closed Won
L03715,Robert Davis,"Gallagher, Jones and Jones",Marketing Manager,Software,Asia,5,2.5,66,0,Google,0,Qualification
L03716,Derrick Lee,"Howe, Boyd and Bell",Chief Product Officer,Technology,Europe,8,2.67,501,0,Google,0,Qualification
L03717,Ashley Stewart,Henry-Smith,Chief Product Officer,Healthcare,Africa,0,0.0,0,0,Olark Chat,0,Qualification
L03718,Richard Moore,Anthony-Rodriguez,VP of Marketing,Healthcare,South America,0,0.0,0,0,Olark Chat,0,Qualification
L03719,Jasmine Hayes,Clarke Inc,Sales Director,Consulting,Europe,0,0.0,0,0,Olark Chat,0,Negotiation
L03720,Fred Wilson,Lewis-Hernandez,Business Development Executive,Retail,Asia,4,1.33,446,1,Direct Traffic,0,Proposal
L03721,Lori Wilson,Christian-Mcfarland,Growth Lead,Manufacturing,Asia,4,4.0,95,1,Organic Search,1,Closed Won
L03722,Wesley Hood,Smith LLC,Head of Sales,Consulting,Asia,3,1.5,345,0,Referral Sites,0,Prospecting
L03723,Wendy Dougherty,Hunt-Gallagher,VP of Marketing,Technology,Europe,13,2.6,20,1,Direct Traffic,1,Prospecting
L03724,Caitlin Johnson,Sanders-Olson,Chief Product Officer,Healthcare,Oceania,1,1.0,164,0,Google,0,Negotiation
L03725,Kenneth Becker,"Martin, Graham and Hansen",Head of Sales,Finance,South America,3,3.0,1354,3,Direct Traffic,0,Proposal
L03726,John Armstrong,Shepard LLC,Chief Product Officer,Technology,Oceania,4,4.0,177,1,Google,0,Prospecting
L03727,Douglas Estes,Barron and Sons,Head of Sales,Healthcare,Africa,7,2.33,1032,1,Organic Search,0,Qualification
L03728,Michael Martinez,Curry Ltd,Growth Lead,Retail,Europe,2,2.0,1020,0,Direct Traffic,1,Closed Lost
L03729,Jeremy Mccoy,"Moreno, Reed and Walker",Growth Lead,Retail,Asia,4,4.0,901,1,Direct Traffic,1,Qualification
L03730,Christopher Clark,Marshall Inc,Marketing Manager,Software,North America,5,5.0,286,0,Google,0,Qualification
L03731,Carolyn Scott,Gonzales-House,Account Manager,Retail,Europe,6,1.0,151,0,Google,1,Proposal
L03732,Rebecca Larson,"Pineda, Mitchell and Livingston",Growth Lead,Finance,Europe,3,3.0,449,0,Google,1,Negotiation
L03733,David Bennett,"White, Thomas and Miller",Growth Lead,Retail,North America,0,0.0,0,0,Olark Chat,0,Closed Lost
L03734,Kimberly Nichols,"Cox, Wilson and Lewis",Revenue Ops Analyst,Retail,South America,2,2.0,371,0,Google,0,Qualification
L03735,Doris Holmes,"Frey, Buck and Walker",Business Development Executive,Healthcare,Asia,5,5.0,698,1,Organic Search,1,Qualification
L03736,Brett May,Bell and Sons,Sales Director,Retail,Asia,5,2.5,1229,0,Organic Search,1,Closed Lost
L03737,Richard Sandoval,"Allen, Rowland and Robbins",Business Development Executive,Software,Europe,1,1.0,316,1,Google,0,Closed Won
L03738,Nicole Smith,Green-Bell,Marketing Manager,Software,Oceania,5,5.0,313,1,Direct Traffic,0,Proposal
L03739,Angie Bowen,Knight and Sons,Business Development Executive,Consulting,Africa,2,2.0,1507,2,Google,1,Proposal
L03740,Robert Ford,"Hansen, Freeman and Green",Marketing Manager,Healthcare,Oceania,0,0.0,0,0,Olark Chat,1,Prospecting
L03741,Jessica Mcdowell,Hughes-Lutz,Account Manager,Finance,Asia,0,0.0,0,0,Reference,1,Prospecting
L03742,Joseph Howell,Walsh-Maldonado,VP of Marketing,Software,Oceania,9,4.5,1442,0,Direct Traffic,0,Prospecting
L03743,Krista Dunn,Duncan-Russell,Head of Sales,Finance,Oceania,0,0.0,0,0,Welingak Website,1,Prospecting
L03744,Bonnie Mathews,"Nelson, Cain and Yu",Marketing Manager,Finance,Asia,2,2.0,169,1,Google,0,Prospecting
L03745,David Hayes,"Davis, Dorsey and Burton",Account Manager,Finance,North America,2,2.0,21,1,Direct Traffic,0,Qualification
L03746,Patricia Flores,"West, Johnson and Little",Revenue Ops Analyst,Software,Europe,2,2.0,203,0,Google,0,Qualification
L03747,Carrie Alvarez,"Webb, Mckinney and Hickman",Account Manager,Finance,South America,3,3.0,518,0,Google,0,Qualification
